sales_id,customer_id,product_id,employee_id,branch_id,quantity,sale_date,total_sale
1,1018,120,218,1,3,2026-05-27,300.00
2,1032,133,207,5,6,2026-03-17,450.00
3,1090,125,210,3,5,2026-03-03,1250.00
4,1036,107,209,2,6,2026-01-20,1080.00
5,1009,132,208,4,4,2026-04-13,1000.00
6,1040,120,213,2,5,2026-02-15,900.00
7,1070,115,208,1,3,2026-04-28,540.00
8,1019,122,205,5,5,2026-01-22,350.00
9,1046,139,212,1,2,2026-02-13,200.00
10,1084,122,207,5,3,2026-06-03,210.00
11,1088,129,216,4,1,2026-04-29,180.00
12,1055,105,209,2,2,2026-06-07,390.00
13,1071,136,213,5,3,2026-03-23,420.00
14,1064,111,200,3,4,2026-03-14,1800.00
15,1068,119,204,4,4,2026-06-15,240.00
16,1082,134,212,4,1,2026-04-28,280.00
17,1070,117,218,2,5,2026-02-25,900.00
18,1057,128,206,1,3,2026-01-26,450.00
19,1053,127,208,5,1,2026-02-05,85.00
20,1061,143,213,2,6,2026-03-24,1500.00
21,1040,120,211,5,4,2026-04-02,400.00
22,1037,123,218,3,6,2026-05-03,900.00
23,1078,131,214,2,3,2026-04-09,900.00
24,1002,133,200,3,4,2026-03-10,300.00
25,1077,134,212,5,3,2026-06-14,840.00
26,1080,142,203,3,1,2026-05-19,1200.00
27,1026,123,216,4,6,2026-03-22,900.00
28,1079,132,217,5,3,2026-03-02,750.00
29,1056,126,203,3,5,2026-06-26,1750.00
30,1050,112,206,5,6,2026-04-12,480.00
31,1085,125,206,4,6,2026-04-22,1500.00
32,1040,102,206,3,6,2026-04-05,2520.00
33,1019,103,217,4,2,2026-04-25,700.00
34,1046,128,215,5,2,2026-05-02,300.00
35,1041,127,217,4,4,2026-01-30,340.00
36,1096,148,210,1,3,2026-04-03,1950.00
37,1035,135,210,1,2,2026-02-01,360.00
38,1012,110,203,1,1,2026-02-17,300.00
39,1064,133,212,1,3,2026-03-01,225.00
40,1063,115,212,2,4,2026-01-30,720.00
41,1026,105,206,1,4,2026-02-25,780.00
42,1004,118,216,1,5,2026-05-07,1100.00
43,1064,132,213,2,5,2026-02-18,1250.00
44,1088,105,203,1,6,2026-01-19,1170.00
45,1088,136,217,5,6,2026-05-24,840.00
46,1080,141,214,2,1,2026-05-08,50.00
47,1041,118,216,5,6,2026-04-21,1320.00
48,1005,109,200,5,5,2026-06-07,350.00
49,1088,119,214,2,3,2026-06-28,180.00
50,1073,107,213,1,3,2026-03-27,540.00
51,1001,128,210,1,6,2026-02-24,900.00
52,1060,121,202,3,5,2026-06-04,400.00
53,1053,145,212,5,6,2026-04-01,2100.00
54,1096,126,208,3,1,2026-04-15,350.00
55,1001,151,210,5,6,2026-06-23,1500.00
56,1074,112,205,4,3,2026-03-25,240.00
57,1004,126,204,3,4,2026-06-11,1400.00
58,1044,109,213,1,5,2026-01-19,350.00
59,1036,151,209,1,5,2026-05-08,1250.00
60,1056,118,203,2,2,2026-03-08,440.00
